Date,Open,High,Low,Close,Adj Close,Volume
2001-03-22,973.574219,973.574219,973.574219,983.309998,769.697571,48753
2001-03-23,978.442078,983.309998,973.574219,973.574219,762.076782,182934
2001-03-26,973.574219,983.309998,973.574219,983.309998,769.697571,27900
2001-03-27,983.309998,988.177795,983.309998,983.309998,769.697571,20132
2001-03-28,988.177795,988.177795,983.309998,983.309998,769.697571,10168
2001-03-29,988.177795,988.177795,983.309998,983.309998,769.697571,31019
2001-03-30,983.309998,993.045715,983.309998,983.309998,769.697571,40674
2001-04-02,983.309998,1022.252930,983.309998,983.309998,769.697571,38908
2001-04-03,1022.252930,1027.120850,1017.385071,1017.385071,796.370117,634406
2001-04-04,1022.252930,1027.120850,1022.252930,1022.252930,800.180542,257637
2001-04-05,1022.252930,1022.252930,1002.781494,1002.781494,784.939087,284287
2001-04-06,1017.385071,1022.252930,1007.649292,1007.649292,788.749390,157912
2001-04-09,1022.252930,1041.724365,1022.252930,1022.252930,800.180542,217754
2001-04-10,1022.252930,1027.120850,1012.517212,1012.517212,792.559753,581541
2001-04-11,1022.252930,1031.988647,1022.252930,1022.252930,800.180542,217652
2001-04-12,1031.988647,1031.988647,1022.252930,1022.252930,800.180542,6834
2001-04-13,1022.252930,1022.252930,1022.252930,1022.252930,800.180542,0
2001-04-16,1022.252930,1022.252930,1022.252930,1022.252930,800.180542,0
2001-04-17,1022.252930,1022.252930,1012.517212,1012.517212,792.559753,111375
2001-04-18,1022.252930,1022.252930,1012.517212,1012.517212,792.559753,673337
2001-04-19,1022.252930,1022.252930,1012.517212,1012.517212,792.559753,516858
2001-04-20,1012.517212,1012.517212,988.177795,988.177795,773.507690,116850
2001-04-23,988.177795,993.045715,983.309998,983.309998,769.697571,42239
2001-04-24,993.045715,1002.781494,993.045715,993.045715,777.318176,13250
2001-04-25,1002.781494,1095.270996,1002.781494,1002.781494,784.939087,38899
2001-04-26,1022.252930,1022.252930,1022.252930,1022.252930,800.180542,2665
2001-04-27,1022.252930,1022.252930,1022.252930,1022.252930,800.180542,0
2001-04-30,1070.931641,1070.931641,1022.252930,1022.252930,800.180542,0
2001-05-01,1022.252930,1022.252930,1022.252930,1022.252930,800.180542,0
2001-05-02,1027.120850,1027.120850,1022.252930,1022.252930,800.180542,7909
2001-05-03,1031.988647,1041.724365,1031.988647,1031.988647,807.801208,4108
2001-05-04,1031.988647,1070.931641,1031.988647,1031.988647,807.801208,14277
2001-05-07,1031.988647,1031.988647,1031.988647,1031.988647,807.801208,0
2001-05-08,1070.931641,1070.931641,1051.460205,1051.460205,823.042908,13668
2001-05-09,1061.195923,1061.195923,1051.460205,1051.460205,823.042908,5786
2001-05-10,1051.460205,1051.460205,1051.460205,1051.460205,823.042908,7498
2001-05-11,1051.460205,1051.460205,1051.460205,1051.460205,823.042908,6265
2001-05-14,1051.460205,1051.460205,1051.460205,1051.460205,823.042908,143800
2001-05-15,1051.460205,1051.460205,1051.460205,1051.460205,823.042908,1746
2001-05-16,1051.460205,1051.460205,1051.460205,1051.460205,823.042908,2465
2001-05-17,1051.460205,1061.195923,1051.460205,1051.460205,823.042908,32868
